,Name,Date,Number of participants,Prize fund,1st place,2nd place,3rd place,4th place,5th place,Notes,Links
0,First Lichess Titled Arena[1],14 December 2017,118,$1000,Magnus Carlsen,Fabiano Caruana,Andrew Tang,Georg Meier,TheWarning (Anonymous),Carlsen gave his prize back to Lichess,[1]
1,Lichess Titled Arena 2[2],18 January 2018,145,$1500,Magnus Carlsen,Andrew Tang,Vincent Rothuis,Arka50 (Anonymous),Tuan Minh Le,Carlsen gave his prize back to Lichess,[2]
2,Lichess Titled Arena 3[3],1 March 2018,188,$2200,Magnus Carlsen,Daniel Naroditsky,Template:Ill,Andrew Tang,Jules Moussard,Carlsen gave his prize back to Lichess,[3]
3,Lichess Titled Arena 4[4],12 April 2018,218,$3200,Magnus Carlsen,Andrew Tang,Olexandr Bortnyk,Template:Ill,Jahongir Vakhidov,Carlsen gave his prize back to Lichess,[4]
4,Lichess Titled Arena 5[5],4 May 2018,237,$3600,Andrew Tang,Alireza Firouzja,Arka50 (Anonymous),Diptayan Ghosh,Jules Moussard,First time Carlsen does not win the Titled Arena,[5]
5,Lichess Titled Arena 6[6],4 August 2018,208,$1000,Magnus Carlsen,Daniel Naroditsky,Olexandr Bortnyk,Template:Ill,Akshat Chandra,Carlsen gave his prize back to Lichess[7],[6]
6,Lichess Titled Arena 7[8],7 September 2018,226,$1500,Tuan Minh Le,Zaven Andriasian,Magnus Carlsen,Daniel Naroditsky,Georg Meier,Carlsen played the tournament from his phone[9],[7]
7,Lichess Titled Arena 8[10],26 October 2018,227,$1125,Magnus Carlsen,Andrew Tang,Template:Ill,Alireza Firouzja,Sergei Zhigalko,,[8]
8,Lichess Titled Arena 9[11],12 December 2018,200,$1000,Magnus Carlsen,Andrew Tang,Template:Ill,Daniel Naroditsky,Sergei Zhigalko,,[9]
9,Lichess Titled Arena Jan '19[12],5 January 2019,347,$1000,Magnus Carlsen,Olexandr Bortnyk,Template:Ill,Alireza Firouzja,Sergei Zhigalko,,[10]
10,Lichess Titled Arena Feb '19[13],9 February 2019,349,$1000,Magnus Carlsen,Andrew Tang,Daniel Naroditsky,Tuan Minh Le,Template:Ill,,[11]
11,Lichess Chess960 Titled Arena[14],23 February 2019,319,$1000,Magnus Carlsen,Watneg (Anonymous),Dr-BassemAmin (Anonymous),Olexandr Bortnyk,Template:Ill,Carlsen gave his prize back to Lichess[15],[12]
12,Lichess Chess960 Titled Arena Mar '19[16],27 Mar 2019,261,$1500,Magnus Carlsen,Janak Awatramani,Andrew Tang,Watneg (Anonymous),Saveliy Golubov,,[13]
13,Lichess Titled Arena May '19[17],4 May 2019,355,$1000,Magnus Carlsen,Illya Nyzhnyk,Akshat Chandra,Alireza Firouzja,Template:Ill,,[14]
14,Lichess Titled Arena Jun '19[18],22 June 2019,325,$1000,Magnus Carlsen,Andrew Tang,caching (Anonymous),LyinTed (Anonymous),Diptayan Ghosh,,[15]
15,Lichess Titled Arena Jul '19[19],13 July 2019,332,$1000,Alireza Firouzja,Magnus Carlsen,Template:Ill,Saveliy Golubov,Daniel Naroditsky,,[16]
16,Lichess Titled Arena Sep '19,7 September 2019,341,$1000,Saveliy Golubov,Magnus Carlsen,Watneg (Anonymous),Daniel Naroditsky,Olexandr Bortnyk,,[17]
17,Lichess Titled Arena Oct '19,16 October 2019,395,$1000,Alireza Firouzja,Dmitry Andreikin,Daniel Naroditsky,Federico Perez Ponsa,Andrew Tang,,[18]
18,Lichess Chess960 Titled Arena Sep '19,28 September 2019,293,$1000,Zaven Andriasian,Daniel Naroditsky,Former_Player (Anonymous),Maxim Lavrov,Diptayan Ghosh,,[19]
19,Lichess Titled Arena Nov '19,23 November 2019,356,$1000,Alireza Firouzja,Andrew Tang,Renato Terry,Olexandr Bortnyk,Zaven Andriasian,,[20]
20,Lichess Titled Arena Dec '19,15 December 2019,354,$1000,Alireza Firouzja,Watneg (Anonymous),Minhe Le,Oleksandr Bortnyk,Sergei Zhigalko,,[21]
21,Lichess Titled Arena Jan '20,16 January 2020,448,$1000,Andrew Tang,Sergei Zhigalko,Nihal Sarin,Arjun Erigaisi,Eric Hansen,,[22]
22,Lichess Titled Arena Feb '20,22 Feb 2020,403,$1000,Alireza Firouzja,Tuan Minh Le,Dmitry Andreikin,Andrew Tang,Watneg (Anonymous),,[23]
23,Lichess Titled Arena Mar '20,7 March 2020,415,$1000,Alireza Firouzja,Magnus Carlsen,Andrew Tang,FeegLood (Anonymous),Federico Perez Ponsa,,[24]
24,Lichess Titled Arena Mar '20,21 March 2020,942,$1000,Alireza Firouzja,Magnus Carlsen,Dmitry Andreikin,[Esssquire],[Golubov_Saveliy],,[25]
